model,round_index,round_type,threshold,quant_mode,layer_name,layer_key,backend,step,shape,numel,payload_length,quant_bits_layer,quant_mode_layer,fallback_reason
resnet50,1,hot,524288,outlier_q6_q8,layer3.2.bn2.bias,layer3.2.bn2.bias|torch.float32|256,cpu_batch,,256,256,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer3.2.conv3.weight,layer3.2.conv3.weight|torch.float32|1024x256x1x1,cpu_batch,,1024x256x1x1,262144,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer3.2.bn3.weight,layer3.2.bn3.weight|torch.float32|1024,cpu_batch,,1024,1024,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer3.2.bn3.bias,layer3.2.bn3.bias|torch.float32|1024,cpu_batch,,1024,1024,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer3.3.conv1.weight,layer3.3.conv1.weight|torch.float32|256x1024x1x1,cpu_batch,,256x1024x1x1,262144,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer3.3.bn1.weight,layer3.3.bn1.weight|torch.float32|256,cpu_batch,,256,256,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer3.3.bn1.bias,layer3.3.bn1.bias|torch.float32|256,cpu_batch,,256,256,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer3.3.bn2.weight,layer3.3.bn2.weight|torch.float32|256,cpu_batch,,256,256,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer3.3.bn2.bias,layer3.3.bn2.bias|torch.float32|256,cpu_batch,,256,256,0,,,below_cuda_min_numel_or_gate
resnet50,1,hot,524288,outlier_q6_q8,layer3.3.conv3.weight,layer3.3.conv3.weight|torch.float32|1024x256x1x1,cpu_batch,,1024x256x1x1,262144,0,,,below_cuda_min_numel_or_gate
